id,region_type,region,n_el,bilingual_content,twi_dual_content,integrated_esl,push_pull_esl,mono_para,bilingual_para,sheltered_content,other_instruct,tutoring,summer,credit_recovery,mentoring,distance_ed,other,acad_info_primary,cte_info_primary,translation_primary,interpreter_primary,receiving_content_primary,receiving_instruct_support_primary,acad_info_other,cte_info_other,translation_other,interpreter_other,receiving_content_other,receiving_instruct_support_other,resource_score,instruct_score,language_support_score,noninstruct_service_score,hs_parent_service_score,resource_score_c,instruct_score_c,language_support_score_c,noninstruct_service_score_c,hs_parent_service_score_c,bilingual_content_score,bilingual_content_score_c
962,rural,southeast,1-10,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,yes,most or all students,most or all students,none,none,none,all languages,no students,few students,7,3,0,3,1,-1.23385012919897,0.0594315245478034,-1.14384151593454,0.0947459086993971,-0.244186046511628,1.5,-0.60594315245478
963,rural,southeast,11-100,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,9,2,1,4,2,0.766149870801034,-0.940568475452197,-0.143841515934539,1.0947459086994,0.755813953488372,1.5,-0.60594315245478
964,suburb,northeast,11-100,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,few students,none,none,some languages,some languages,no students,no students,5,2,0,2,1,-3.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,-0.244186046511628,1.5,-0.60594315245478
965,suburb,southeast,11-100,no,no,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,yes,some students,some students,none,none,some languages,some languages,some students,some students,8,4,1,2,1,-0.233850129198967,1.0594315245478,-0.143841515934539,-0.905254091300603,-0.244186046511628,2.5,0.39405684754522
966,rural,southeast,11-100,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no students,no students,some languages,none,some languages,some languages,no students,no students,6.5,2,0,3,1.5,-1.73385012919897,-0.940568475452197,-1.14384151593454,0.0947459086993971,0.255813953488372,1.5,-0.60594315245478
967,suburb,central,11-100,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no students,no students,some languages,none,some languages,some languages,no students,no students,8.5,4,0,3,1.5,0.266149870801033,1.0594315245478,-1.14384151593454,0.0947459086993971,0.255813953488372,2.5,0.39405684754522
968,suburb,southeast,100+,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,most or all students,most or all students,some languages,some languages,all languages,some languages,few students,few students,9.5,3,0,4,2.5,1.26614987080103,0.0594315245478034,-1.14384151593454,1.0947459086994,1.25581395348837,2.5,0.39405684754522
969,suburb,northeast,1-10,no,no,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,no students,no students,some languages,some languages,all languages,all languages,no students,no students,13,3,3,4,3,4.76614987080103,0.0594315245478034,1.85615848406546,1.0947459086994,1.75581395348837,2,-0.10594315245478
970,suburb,central,11-100,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,8,3,1,2,2,-0.233850129198967,0.0594315245478034,-0.143841515934539,-0.905254091300603,0.755813953488372,2,-0.10594315245478
971,city,west,100+,no,no,yes,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,yes,yes,no students,few students,none,none,some languages,some languages,no students,few students,7,2,2,2,1,-1.23385012919897,-0.940568475452197,0.856158484065461,-0.905254091300603,-0.244186046511628,1.5,-0.60594315245478
