id,region_type,region,n_el,bilingual_content,twi_dual_content,integrated_esl,push_pull_esl,mono_para,bilingual_para,sheltered_content,other_instruct,tutoring,summer,credit_recovery,mentoring,distance_ed,other,acad_info_primary,cte_info_primary,translation_primary,interpreter_primary,receiving_content_primary,receiving_instruct_support_primary,acad_info_other,cte_info_other,translation_other,interpreter_other,receiving_content_other,receiving_instruct_support_other,resource_score,instruct_score,language_support_score,noninstruct_service_score,hs_parent_service_score,resource_score_c,instruct_score_c,language_support_score_c,noninstruct_service_score_c,hs_parent_service_score_c,bilingual_content_score,bilingual_content_score_c
1,suburb,southeast,100+,no,no,yes,yes,no,no,yes,no,no,yes,yes,no,no,no,yes,no,no,yes,some students,some students,some languages,none,none,some languages,no students,few students,8,3,2,2,1,-0.233850129198967,0.0594315245478034,0.856158484065461,-0.905254091300603,-0.244186046511628,2,-0.10594315245478
2,city,west,11-100,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,yes,yes,no students,most or all students,some languages,none,some languages,some languages,no students,no students,11.5,6,1,3,1.5,3.26614987080103,3.0594315245478,-0.143841515934539,0.0947459086993971,0.255813953488372,4,1.89405684754522
3,town,west,1-10,no,no,yes,yes,no,no,yes,no,yes,no,yes,yes,no,no,yes,yes,yes,yes,no students,some students,none,none,all languages,all languages,no students,no students,12,3,3,4,2,3.76614987080103,0.0594315245478034,1.85615848406546,1.0947459086994,0.755813953488372,2,-0.10594315245478
4,city,southeast,100+,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,6,2,0,3,1,-2.23385012919897,-0.940568475452197,-1.14384151593454,0.0947459086993971,-0.244186046511628,1.5,-0.60594315245478
5,town,central,11-100,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,6,2,0,2,2,-2.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,0.755813953488372,1.5,-0.60594315245478
6,rural,west,11-100,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,some students,some students,all languages,all languages,all languages,all languages,no students,no students,11,3,0,4,4,2.76614987080103,0.0594315245478034,-1.14384151593454,1.0947459086994,2.75581395348837,2,-0.10594315245478
7,city,southeast,100+,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no students,no students,some languages,none,some languages,some languages,no students,no students,6.5,2,0,3,1.5,-1.73385012919897,-0.940568475452197,-1.14384151593454,0.0947459086993971,0.255813953488372,1.5,-0.60594315245478
8,rural,west,1-10,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,some students,some students,none,none,none,some languages,some students,some students,8.5,3,1,4,0.5,0.266149870801033,0.0594315245478034,-0.143841515934539,1.0947459086994,-0.744186046511628,2,-0.10594315245478
9,city,central,100+,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,some students,most or all students,some languages,none,some languages,some languages,few students,some students,15.5,6,4,4,1.5,7.26614987080103,3.0594315245478,2.85615848406546,1.0947459086994,0.255813953488372,4.5,2.39405684754522
10,city,northeast,1-10,no,no,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,no students,few students,none,none,some languages,some languages,no students,no students,9,4,2,2,1,0.766149870801034,1.0594315245478,0.856158484065461,-0.905254091300603,-0.244186046511628,2.5,0.39405684754522
11,town,northeast,1-10,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,no students,,,,,,,5,1,0,4,0,-3.23385012919897,-1.9405684754522,-1.14384151593454,1.0947459086994,-1.24418604651163,0.5,-1.60594315245478
12,town,central,11-100,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,yes,no students,some students,none,none,some languages,some languages,no students,no students,6,1,1,3,1,-2.23385012919897,-1.9405684754522,-0.143841515934539,0.0947459086993971,-0.244186046511628,1,-1.10594315245478
13,rural,central,1-10,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no students,no students,,,,,,,3,1,1,1,0,-5.23385012919897,-1.9405684754522,-0.143841515934539,-1.9052540913006,-1.24418604651163,0.5,-1.60594315245478
14,suburb,northeast,100+,no,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,yes,yes,no,yes,no students,few students,some languages,some languages,none,some languages,no students,few students,8.5,3,1,3,1.5,0.266149870801033,0.0594315245478034,-0.143841515934539,0.0947459086993971,0.255813953488372,2,-0.10594315245478
15,suburb,northeast,11-100,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,5,1,1,2,1,-3.23385012919897,-1.9405684754522,-0.143841515934539,-0.905254091300603,-0.244186046511628,1,-1.10594315245478
16,rural,northeast,1-10,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,most or all students,,,,,,,8,3,1,4,0,-0.233850129198967,0.0594315245478034,-0.143841515934539,1.0947459086994,-1.24418604651163,2.5,0.39405684754522
17,town,west,1-10,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,few students,,,,,,,3,1,0,2,0,-5.23385012919897,-1.9405684754522,-1.14384151593454,-0.905254091300603,-1.24418604651163,1,-1.10594315245478
18,rural,west,1-10,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,no students,,,,,,,6,2,0,4,0,-2.23385012919897,-0.940568475452197,-1.14384151593454,1.0947459086994,-1.24418604651163,1,-1.10594315245478
19,town,west,11-100,no,no,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,yes,yes,no students,some students,none,none,none,all languages,no students,no students,11,5,1,4,1,2.76614987080103,2.0594315245478,-0.143841515934539,1.0947459086994,-0.244186046511628,3.5,1.39405684754522
20,suburb,northeast,11-100,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,no students,no students,some languages,none,all languages,all languages,no students,no students,8.5,2,1,3,2.5,0.266149870801033,-0.940568475452197,-0.143841515934539,0.0947459086993971,1.25581395348837,1.5,-0.60594315245478
21,rural,southeast,1-10,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,yes,yes,yes,yes,few students,few students,none,none,all languages,all languages,no students,no students,9,2,1,4,2,0.766149870801034,-0.940568475452197,-0.143841515934539,1.0947459086994,0.755813953488372,1,-1.10594315245478
22,suburb,west,11-100,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,few students,none,none,none,none,no students,no students,7,2,1,4,0,-1.23385012919897,-0.940568475452197,-0.143841515934539,1.0947459086994,-1.24418604651163,2,-0.10594315245478
23,rural,southeast,100+,no,no,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,no students,few students,none,none,some languages,all languages,no students,no students,10.5,3,2,4,1.5,2.26614987080103,0.0594315245478034,0.856158484065461,1.0947459086994,0.255813953488372,2,-0.10594315245478
24,city,west,100+,no,no,yes,no,no,no,yes,no,yes,no,no,yes,no,no,yes,yes,yes,yes,no students,few students,some languages,some languages,all languages,all languages,no students,few students,11,2,2,4,3,2.76614987080103,-0.940568475452197,0.856158484065461,1.0947459086994,1.75581395348837,1.5,-0.60594315245478
25,town,west,11-100,no,no,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,no students,few students,some languages,some languages,some languages,some languages,no students,no students,10,2,2,4,2,1.76614987080103,-0.940568475452197,0.856158484065461,1.0947459086994,0.755813953488372,1.5,-0.60594315245478
26,city,central,100+,no,no,yes,no,no,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,few students,most or all students,some languages,some languages,all languages,some languages,few students,some students,12.5,3,3,4,2.5,4.26614987080103,0.0594315245478034,1.85615848406546,1.0947459086994,1.25581395348837,2.5,0.39405684754522
27,rural,southeast,1-10,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no students,no students,,,,,,,1,1,0,0,0,-7.23385012919897,-1.9405684754522,-1.14384151593454,-2.9052540913006,-1.24418604651163,0.5,-1.60594315245478
28,suburb,central,1-10,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no students,no students,,,,,,,5,4,0,1,0,-3.23385012919897,1.0594315245478,-1.14384151593454,-1.9052540913006,-1.24418604651163,2.5,0.39405684754522
29,city,central,11-100,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,few students,few students,none,none,none,none,no students,no students,6,1,2,3,0,-2.23385012919897,-1.9405684754522,0.856158484065461,0.0947459086993971,-1.24418604651163,0.5,-1.60594315245478
30,city,west,100+,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,yes,few students,some students,none,none,none,some languages,no students,no students,5.5,3,0,2,0.5,-2.73385012919897,0.0594315245478034,-1.14384151593454,-0.905254091300603,-0.744186046511628,2.5,0.39405684754522
31,suburb,central,11-100,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,few students,most or all students,some languages,none,some languages,some languages,no students,no students,6.5,2,1,2,1.5,-1.73385012919897,-0.940568475452197,-0.143841515934539,-0.905254091300603,0.255813953488372,1.5,-0.60594315245478
32,suburb,northeast,11-100,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no students,no students,none,none,none,none,no students,no students,4,3,0,1,0,-4.23385012919897,0.0594315245478034,-1.14384151593454,-1.9052540913006,-1.24418604651163,2,-0.10594315245478
33,city,west,11-100,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,none,all languages,no students,no students,5,2,0,2,1,-3.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,-0.244186046511628,1.5,-0.60594315245478
34,town,central,1-10,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,few students,none,none,none,none,no students,few students,8,3,1,4,0,-0.233850129198967,0.0594315245478034,-0.143841515934539,1.0947459086994,-1.24418604651163,2,-0.10594315245478
35,suburb,northeast,100+,yes,yes,yes,no,no,no,yes,no,yes,no,yes,yes,no,no,yes,yes,yes,yes,most or all students,few students,none,none,some languages,some languages,no students,no students,12,4,3,4,1,3.76614987080103,1.0594315245478,1.85615848406546,1.0947459086994,-0.244186046511628,3.5,1.39405684754522
36,city,west,100+,no,no,yes,no,no,no,yes,no,no,yes,yes,no,no,no,yes,yes,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,9,2,2,4,1,0.766149870801034,-0.940568475452197,0.856158484065461,1.0947459086994,-0.244186046511628,1.5,-0.60594315245478
37,suburb,west,11-100,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,no students,some students,some languages,none,some languages,some languages,no students,few students,10.5,6,0,3,1.5,2.26614987080103,3.0594315245478,-1.14384151593454,0.0947459086993971,0.255813953488372,4,1.89405684754522
38,rural,west,1-10,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,no students,,,,,,,6,1,1,4,0,-2.23385012919897,-1.9405684754522,-0.143841515934539,1.0947459086994,-1.24418604651163,0.5,-1.60594315245478
39,rural,northeast,1-10,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,5,2,0,2,1,-3.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,-0.244186046511628,1.5,-0.60594315245478
40,town,southeast,1-10,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,no students,some languages,some languages,some languages,none,no students,no students,6.5,1,0,4,1.5,-1.73385012919897,-1.9405684754522,-1.14384151593454,1.0947459086994,0.255813953488372,0.5,-1.60594315245478
41,suburb,west,100+,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,few students,some students,some languages,some languages,some languages,all languages,few students,few students,11.5,5,0,4,2.5,3.26614987080103,2.0594315245478,-1.14384151593454,1.0947459086994,1.25581395348837,3.5,1.39405684754522
42,suburb,west,11-100,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,few students,none,none,some languages,none,no students,no students,9.5,4,1,4,0.5,1.26614987080103,1.0594315245478,-0.143841515934539,1.0947459086994,-0.744186046511628,3,0.89405684754522
43,city,central,100+,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,most or all students,most or all students,some languages,some languages,some languages,some languages,few students,most or all students,14,5,3,4,2,5.76614987080103,2.0594315245478,1.85615848406546,1.0947459086994,0.755813953488372,4,1.89405684754522
44,town,west,11-100,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,few students,,,,,,,4,2,0,2,0,-4.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,-1.24418604651163,1.5,-0.60594315245478
45,rural,west,1-10,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,few students,few students,none,none,none,none,few students,few students,2,1,0,1,0,-6.23385012919897,-1.9405684754522,-1.14384151593454,-1.9052540913006,-1.24418604651163,0.5,-1.60594315245478
46,suburb,central,11-100,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no students,some students,none,none,some languages,some languages,no students,some students,5,2,0,2,1,-3.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,-0.244186046511628,1,-1.10594315245478
47,suburb,central,100+,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no students,no students,none,none,none,none,no students,no students,4,3,1,0,0,-4.23385012919897,0.0594315245478034,-0.143841515934539,-2.9052540913006,-1.24418604651163,2.5,0.39405684754522
48,town,northeast,1-10,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,no students,some languages,some languages,some languages,some languages,no students,no students,9,2,1,4,2,0.766149870801034,-0.940568475452197,-0.143841515934539,1.0947459086994,0.755813953488372,1.5,-0.60594315245478
49,rural,west,1-10,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,none,none,no students,no students,4,2,0,2,0,-4.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,-1.24418604651163,1.5,-0.60594315245478
50,city,southeast,100+,no,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,no students,few students,none,none,none,all languages,no students,no students,12,4,3,4,1,3.76614987080103,1.0594315245478,1.85615848406546,1.0947459086994,-0.244186046511628,3,0.89405684754522
51,town,central,1-10,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,most or all students,few students,some languages,some languages,some languages,some languages,no students,few students,11,5,0,4,2,2.76614987080103,2.0594315245478,-1.14384151593454,1.0947459086994,0.755813953488372,3.5,1.39405684754522
52,city,southeast,100+,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,no students,few students,some languages,none,some languages,some languages,no students,no students,8.5,4,0,3,1.5,0.266149870801033,1.0594315245478,-1.14384151593454,0.0947459086993971,0.255813953488372,3,0.89405684754522
53,suburb,central,11-100,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,no students,most or all students,none,some languages,all languages,all languages,no students,most or all students,15.5,6,4,3,2.5,7.26614987080103,3.0594315245478,2.85615848406546,0.0947459086993971,1.25581395348837,5,2.89405684754522
54,town,central,1-10,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,8,1,1,4,2,-0.233850129198967,-1.9405684754522,-0.143841515934539,1.0947459086994,0.755813953488372,0.5,-1.60594315245478
55,town,central,100+,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,no,yes,yes,no students,some students,none,none,some languages,some languages,no students,no students,9,4,2,2,1,0.766149870801034,1.0594315245478,0.856158484065461,-0.905254091300603,-0.244186046511628,3,0.89405684754522
56,suburb,northeast,11-100,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,no students,some languages,some languages,some languages,some languages,no students,no students,9,2,1,4,2,0.766149870801034,-0.940568475452197,-0.143841515934539,1.0947459086994,0.755813953488372,1.5,-0.60594315245478
57,city,central,11-100,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,some students,most or all students,some languages,none,all languages,all languages,few students,some students,14.5,6,2,4,2.5,6.26614987080103,3.0594315245478,0.856158484065461,1.0947459086994,1.25581395348837,4.5,2.39405684754522
58,rural,west,11-100,no,no,yes,yes,no,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,few students,most or all students,none,none,none,none,no students,no students,10,3,3,4,0,1.76614987080103,0.0594315245478034,1.85615848406546,1.0947459086994,-1.24418604651163,2,-0.10594315245478
59,city,southeast,11-100,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,6,3,0,2,1,-2.23385012919897,0.0594315245478034,-1.14384151593454,-0.905254091300603,-0.244186046511628,2,-0.10594315245478
60,rural,west,1-10,no,no,no,no,yes,no,no,no,yes,no,yes,no,yes,no,no,no,yes,yes,few students,no students,,,,,,,6,1,3,2,0,-2.23385012919897,-1.9405684754522,1.85615848406546,-0.905254091300603,-1.24418604651163,0.5,-1.60594315245478
61,suburb,west,11-100,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,yes,no students,some students,,,,,,,6,3,1,2,0,-2.23385012919897,0.0594315245478034,-0.143841515934539,-0.905254091300603,-1.24418604651163,2,-0.10594315245478
62,suburb,west,11-100,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,yes,yes,most or all students,most or all students,none,none,none,none,no students,no students,11,4,4,3,0,2.76614987080103,1.0594315245478,2.85615848406546,0.0947459086993971,-1.24418604651163,3,0.89405684754522
63,rural,southeast,1-10,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,few students,few students,,,,,,,5,2,1,2,0,-3.23385012919897,-0.940568475452197,-0.143841515934539,-0.905254091300603,-1.24418604651163,1,-1.10594315245478
64,suburb,northeast,11-100,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no students,few students,none,none,all languages,all languages,no students,no students,8,3,1,2,2,-0.233850129198967,0.0594315245478034,-0.143841515934539,-0.905254091300603,0.755813953488372,2,-0.10594315245478
65,town,central,1-10,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no students,no students,none,none,none,none,no students,no students,2,1,1,0,0,-6.23385012919897,-1.9405684754522,-0.143841515934539,-2.9052540913006,-1.24418604651163,0.5,-1.60594315245478
66,town,southeast,11-100,no,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,few students,some students,some languages,some languages,some languages,some languages,no students,few students,11,4,1,4,2,2.76614987080103,1.0594315245478,-0.143841515934539,1.0947459086994,0.755813953488372,3,0.89405684754522
67,town,central,11-100,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,most or all students,most or all students,all languages,all languages,all languages,all languages,few students,few students,16,5,3,4,4,7.76614987080103,2.0594315245478,1.85615848406546,1.0947459086994,2.75581395348837,4,1.89405684754522
68,suburb,central,11-100,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,some students,none,none,all languages,some languages,no students,some students,6.5,3,0,2,1.5,-1.73385012919897,0.0594315245478034,-1.14384151593454,-0.905254091300603,0.255813953488372,2.5,0.39405684754522
69,suburb,northeast,11-100,no,no,yes,yes,no,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,yes,no students,no students,some languages,some languages,some languages,some languages,no students,no students,10,2,2,4,2,1.76614987080103,-0.940568475452197,0.856158484065461,1.0947459086994,0.755813953488372,1.5,-0.60594315245478
70,rural,southeast,1-10,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,yes,few students,most or all students,,,,,,,7,2,1,4,0,-1.23385012919897,-0.940568475452197,-0.143841515934539,1.0947459086994,-1.24418604651163,1.5,-0.60594315245478
71,town,central,11-100,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,no,yes,yes,few students,most or all students,none,none,none,some languages,no students,no students,11.5,5,4,2,0.5,3.26614987080103,2.0594315245478,2.85615848406546,-0.905254091300603,-0.744186046511628,3.5,1.39405684754522
72,town,northeast,11-100,no,no,yes,yes,no,no,yes,no,yes,no,yes,yes,no,no,no,no,yes,yes,no students,no students,,,,,,,8,3,3,2,0,-0.233850129198967,0.0594315245478034,1.85615848406546,-0.905254091300603,-1.24418604651163,2,-0.10594315245478
73,suburb,west,100+,no,no,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,no students,few students,none,none,some languages,some languages,no students,no students,10,4,2,3,1,1.76614987080103,1.0594315245478,0.856158484065461,0.0947459086993971,-0.244186046511628,3,0.89405684754522
74,suburb,southeast,1-10,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,no students,,,,,,,5,1,0,4,0,-3.23385012919897,-1.9405684754522,-1.14384151593454,1.0947459086994,-1.24418604651163,0.5,-1.60594315245478
75,suburb,west,100+,no,no,yes,no,yes,yes,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,no students,some students,some languages,some languages,some languages,all languages,no students,few students,12.5,3,3,4,2.5,4.26614987080103,0.0594315245478034,1.85615848406546,1.0947459086994,1.25581395348837,2.5,0.39405684754522
76,town,northeast,1-10,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,7,2,2,2,1,-1.23385012919897,-0.940568475452197,0.856158484065461,-0.905254091300603,-0.244186046511628,1,-1.10594315245478
77,rural,southeast,11-100,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,7,3,0,2,2,-1.23385012919897,0.0594315245478034,-1.14384151593454,-0.905254091300603,0.755813953488372,2,-0.10594315245478
78,city,west,1-10,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,,,,,,,3,1,0,2,0,-5.23385012919897,-1.9405684754522,-1.14384151593454,-0.905254091300603,-1.24418604651163,1,-1.10594315245478
79,rural,northeast,1-10,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,6,2,0,2,2,-2.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,0.755813953488372,1.5,-0.60594315245478
80,town,west,100+,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,no students,some students,some languages,none,some languages,some languages,no students,some students,8.5,3,1,3,1.5,0.266149870801033,0.0594315245478034,-0.143841515934539,0.0947459086993971,0.255813953488372,2.5,0.39405684754522
81,suburb,northeast,1-10,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,7,3,0,2,2,-1.23385012919897,0.0594315245478034,-1.14384151593454,-0.905254091300603,0.755813953488372,2,-0.10594315245478
82,city,west,100+,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,some students,some students,,,,,,,9,4,1,4,0,0.766149870801034,1.0594315245478,-0.143841515934539,1.0947459086994,-1.24418604651163,3.5,1.39405684754522
83,rural,central,1-10,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no students,few students,none,none,all languages,all languages,no students,no students,5,1,0,2,2,-3.23385012919897,-1.9405684754522,-1.14384151593454,-0.905254091300603,0.755813953488372,0.5,-1.60594315245478
84,suburb,west,100+,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,10,4,1,4,1,1.76614987080103,1.0594315245478,-0.143841515934539,1.0947459086994,-0.244186046511628,3,0.89405684754522
85,suburb,northeast,1-10,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,most or all students,some students,,,,,,,3,3,0,0,0,-5.23385012919897,0.0594315245478034,-1.14384151593454,-2.9052540913006,-1.24418604651163,2,-0.10594315245478
86,suburb,central,11-100,yes,no,yes,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no,yes,yes,few students,few students,none,none,all languages,some languages,no students,no students,10.5,5,2,2,1.5,2.26614987080103,2.0594315245478,0.856158484065461,-0.905254091300603,0.255813953488372,4,1.89405684754522
87,town,west,100+,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,most or all students,most or all students,,,,,,,6,1,1,4,0,-2.23385012919897,-1.9405684754522,-0.143841515934539,1.0947459086994,-1.24418604651163,1,-1.10594315245478
88,town,central,1-10,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,6,2,0,2,2,-2.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,0.755813953488372,1.5,-0.60594315245478
89,city,west,100+,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,some students,most or all students,some languages,some languages,all languages,all languages,no students,no students,15,4,4,4,3,6.76614987080103,1.0594315245478,2.85615848406546,1.0947459086994,1.75581395348837,3,0.89405684754522
90,rural,southeast,1-10,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,most or all students,none,none,all languages,all languages,no students,most or all students,5,1,0,2,2,-3.23385012919897,-1.9405684754522,-1.14384151593454,-0.905254091300603,0.755813953488372,1,-1.10594315245478
91,suburb,southeast,1-10,no,no,yes,yes,yes,no,no,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,no students,no students,all languages,all languages,all languages,all languages,no students,no students,14,4,2,4,4,5.76614987080103,1.0594315245478,0.856158484065461,1.0947459086994,2.75581395348837,2.5,0.39405684754522
92,town,west,100+,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,few students,few students,,,,,,,6,2,0,4,0,-2.23385012919897,-0.940568475452197,-1.14384151593454,1.0947459086994,-1.24418604651163,1.5,-0.60594315245478
93,suburb,southeast,100+,no,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,no students,most or all students,some languages,some languages,all languages,all languages,no students,no students,14,4,3,4,3,5.76614987080103,1.0594315245478,1.85615848406546,1.0947459086994,1.75581395348837,3,0.89405684754522
94,suburb,northeast,11-100,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,few students,all languages,all languages,all languages,all languages,no students,no students,10,2,0,4,4,1.76614987080103,-0.940568475452197,-1.14384151593454,1.0947459086994,2.75581395348837,1.5,-0.60594315245478
95,rural,west,1-10,no,no,no,no,yes,no,no,no,yes,no,yes,no,yes,no,no,yes,yes,yes,few students,no students,,,,,,,7,1,3,3,0,-1.23385012919897,-1.9405684754522,1.85615848406546,0.0947459086993971,-1.24418604651163,0.5,-1.60594315245478
96,suburb,central,11-100,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,few students,none,none,none,none,no students,no students,5,3,0,2,0,-3.23385012919897,0.0594315245478034,-1.14384151593454,-0.905254091300603,-1.24418604651163,2.5,0.39405684754522
